language	wiki.deg	wiki.bet	wiki.eig
afr	2	0	0.00338395851406093
amh	1	0	0.000330192822395705
ang	1	0	0.000601422640792177
ara	4	0	0.0486530490147156
arg	1	0	0.000323929730638628
asm	1	0	0.000365570624795245
ast	1	0	0.00055530810966622
aze	3	0	0.00457337467999587
bar	2	0	0.00293040478247286
bel	2	0	0.00193582789054492
ben	1	0	0.00600243380712193
bik	1	0	0.000176889011997699
bre	2	1368	0.00156814931531178
bul	4	34	0.0246891537801803
cat	3	0	0.042238570074894
ceb	1	0	0.000518874435193251
ces	7	0	0.0502344828118076
chv	1	0	9.76554609300636e-05
cor	1	0	0.000271229818396472
cos	1	0	0.000126896833715793
csb	1	0	5.36993241161125e-05
cym	1	0	0.00321938001835813
dan	4	0	0.0516928758629114
deu	40	4144	0.726106570245361
ell	2	0	0.0284703039418633
eml	2	1940	0.000418962872004677
eng	113	15782	1
epo	4	0	0.0125543337995137
est	2	0	0.0100649282663801
eus	2	0	0.00477659418776294
fao	1	0	0.000625007842391871
fas	4	526	0.03316231434233
fil	1	0	0.00569582618632592
fin	7	0	0.0725120543129072
fra	29	1338	0.512415070261455
fry	1	0	0.000246060219549424
fur	1	0	0.000112355251208665
gla	1	0	0.000707556047990797
gle	1	0	0.00297173540156135
glg	3	254	0.00656836413837836
glk	1	0	1.75981470587156e-05
grn	1	0	0.000138827027416555
guj	1	0	0.00137973429358205
hbs	6	64	0.0459589905959834
heb	6	10	0.046254805823276
hif	1	0	0.000365570624795245
hin	1	0	0.00872652459188649
hun	9	158	0.058319765852931
hye	2	0	0.00262224937698078
ido	1	0	0.000495289233593558
ina	1	0	0.000672178245591257
isl	2	0	0.00593031675191777
ita	21	1828	0.238190143793654
jav	2	0	0.000938633765904469
jpn	21	802	0.188067027035558
kab	1	0	0.000169195778287724
kal	1	0	0.000165096411197853
kan	1	0	0.00297173540156135
kas	1	0	7.07556047990797e-05
kat	2	0	0.0036303857395438
kaz	2	1624	0.00145760787988549
khm	1	0	0.00066038564479141
kin	1	0	8.25482055989263e-05
kir	1	0	7.32415956975477e-05
kor	4	0	0.0375513874462748
ksh	1	0	0.000470947670657713
kur	3	440	0.00159479974011305
lao	1	0	0.000247644616796779
lat	4	0	0.0119092892524384
lav	2	0	0.00525576733146594
lij	1	0	8.14575571262823e-05
lim	2	0	0.000735178869614426
lit	3	0	0.0114521678246534
lmo	2	0	0.000722785114405788
ltz	3	0	0.00357841295563037
mal	1	0	0.00787745733429754
mar	1	0	0.00310145401035966
mkd	3	188	0.00474352429852076
mlt	1	0	0.000919822862388036
mol	1	0	0.000176889011997699
mon	1	0	0.0010613340719862
msa	4	864	0.0382928716882922
mya	1	0	0.000636800443191717
mzn	2	780	0.000194938731751756
nap	2	0	0.000593647084171772
nav	1	0	0.000153303810398006
nds	2	0	0.00210147338149284
nep	1	0	0.000919822862388036
nld	11	530	0.20456514509108
nor	6	28	0.0915522006356782
nrm	1	0	6.04270636741871e-05
oci	1	0	0.000441117564821566
ori	1	0	0.000389155826394938
pam	1	0	0.000141511209598159
pan	1	0	0.000471704031993865
pap	1	0	0.000294815019996165
pdc	2	3960	0.000364292289812672
pol	15	796	0.142301423334057
por	7	0	0.166644139175541
pus	1	0	0.000200474213597392
que	2	1218	0.000519822877480306
roh	2	0	0.000461711739823012
ron	6	0	0.0426011816657115
rup	1	0	0.000224059415197086
rus	28	1864	0.230029977147793
sah	1	0	5.96783372350389e-05
san	1	0	0.000955200664787576
scn	2	0	0.00108280848529655
sco	1	0	0.00162737891037883
sin	1	0	0.00235852015996932
slk	5	1004	0.0157245316725715
slv	3	20	0.0149847743214324
som	1	0	0.000707556047990797
spa	17	982	0.436014229891983
sqi	2	0	0.0104427985070438
srd	1	0	0.000120781895049315
sun	2	1088	0.000575424432891828
swa	1	0	0.00106133407198619
swe	11	56	0.140677419544805
szl	1	0	6.54460512665121e-05
tam	1	0	0.00675716025831211
tat	1	0	9.223015754506e-05
tel	1	0	0.00432788449354371
tha	3	0	0.0176970951626574
tpi	1	0	0.000247644616796779
tur	7	222	0.0685014571331818
ukr	3	0	0.0299499075810576
urd	1	0	0.00239389796236886
vec	1	0	0.00027527036546123
vie	3	268	0.0179502646016598
vls	2	762	0.000666297270572444
yid	2	252	0.000750777970155829
zho	6	8	0.142197025252235
zul	1	0	0.00010613340719862
