lagnuage	otal_exports
eng	788.103
deu	643.218
fra	590.271
ita	393.224
zho	237.163
jpn	169.0
grc	134.0
rus	134.0
nld	133.2
spa	104.024
ara	86.048
lat	55.0
ces	45.792
swe	44.33
hin	38.163
dan	37.0
pol	24.45
nor	23.0
hun	20.495
por	14.768
cat	12.92
hbs	11.613
ben	7.533
tel	6.696
mar	6.51
tam	5.487
fin	5.472
glg	5.32
urd	4.65
ron	4.55
guj	4.185
slk	4.124
kan	3.441
ori	2.976
mal	2.976
pan	2.604
isl	2.0
slv	1.822
tur	1.807
eus	1.52
ell	1.042
sqi	0.885
swa	0.8
bul	0.768
zul	0.2382
rom	0.187
xho	0.1764
afr	0.1335
que	0.13
mri	0.117
nso	0.0939
tsn	0.082
sot	0.0793
smo	0.063
ukr	0.04
vie	0.04
aym	0.017
