lang	total_exports
eng	330.5
deu	105.334
fra	65.785
spa	46.45
rus	31.401
swe	28.165
pol	24.618
nld	22.4
jpn	21.0
ita	20.2
zho	12.313
dan	12.0
nor	12.0
ara	10.584
hun	8.799
ces	5.724
heb	4.8
hbs	3.943
por	3.662
ron	3.64
hin	3.313
fin	2.736
ukr	2.69
lit	2.46
tur	2.396
zul	2.1438
kor	2.0
ell	1.89
pan	1.664
ben	1.628
xho	1.5876
ltz	1.54
aze	1.263
afr	1.2015
cat	1.19
vie	1.1
fas	1.06
msa	1.0
mya	1.0
isl	1.0
bel	0.936
slk	0.935
slv	0.911
nso	0.8451
swa	0.8
bul	0.768
tsn	0.738
tet	0.732
sot	0.7137
sna	0.7
mkd	0.665
urd	0.64
lav	0.582
tel	0.576
mar	0.56
glg	0.49
tam	0.472
sqi	0.459
kur	0.44
snd	0.36
guj	0.36
lah	0.3
mlg	0.3
kan	0.296
ori	0.256
mal	0.256
aka	0.247
pus	0.24
nde	0.2
eus	0.14
que	0.13
ewe	0.127
ldd	0.12
rom	0.119
mri	0.117
gle	0.08
smo	0.063
abr	0.046
lez	0.022
aym	0.017
hye	0.015
